exp_id,name,auc,accuracy,f1,time_minutes,status
0_baseline,基线模型 (BiLSTM),0.9569018210220533,0.8927,0.8623211650734587,1.4037538806597392,success
1_attention,+ 注意力机制,0.9546497980435158,0.85805,0.8335190289098693,1.63271404504776,success
3_feature_engineering,+ 特征工程 (19个特征),0.9542523903030677,0.891075,0.8590469412183365,3.959801109631856,success
6_ensemble,+ 模型集成 (K折),0.9617001870342825,0.0,0.0,11.54833691517512,success
